Title,date_release,score_audience,score_critic
Anatomy of a Fall,"Dec 22, 2023",90,96
The Beekeeper,"Jan 30, 2024",92,69
The Holdovers,"Nov 28, 2023",91,97
The Kitchen,"Jan 19, 2024",43,88
Saltburn,"Dec 22, 2023",79,71
Killers of the Flower Moon,"Dec 5, 2023",84,93
Aquaman and the Lost Kingdom,"Jan 23, 2024",81,34
Wonka,"Jan 30, 2024",91,83
Ferrari,"Jan 23, 2024",73,72
Society of the Snow,"Jan 4, 2024",86,91
Dumb Money,"Nov 7, 2023",85,84
Night Swim,"Jan 23, 2024",42,22
Migration,"Jan 23, 2024",88,72
The Boys in the Boat,"Jan 16, 2024",97,57
Oppenheimer,"Nov 21, 2023",91,93
Lift,"Jan 12, 2024",31,28
Wish,"Jan 23, 2024",81,48
Past Lives,"Aug 22, 2023",84,96
Badland Hunters,"Jan 26, 2024",56,83
Napoleon,"Jan 9, 2024",59,58
The Underdoggs,"Jan 26, 2024",56,37
The Postcard Killings,"Mar 13, 2020",39,24
The Creator,"Nov 14, 2023",76,66
Self Reliance,"Jan 12, 2024",62,73
Maestro,"Dec 20, 2023",60,80
Leave the World Behind,"Dec 8, 2023",35,75
The Nest,"Nov 17, 2020",42,90
